season,supply,supply_formatted,calculated_value,cumulative_sum
5065,10691220852649,10691220.852649,4454675355.270420,4454675355.270420
5066,10691221872749,10691221.872749,4454675780.312087,8909351135.582508
5067,10691139039228,10691139.039228,4454641266.345004,13363992401.927513
5068,10691140059328,10691140.059328,4454641691.386670,17818634093.314182
5069,10691141079428,10691141.079428,4454642116.428337,22273276209.742519
5070,10691025906920,10691025.906920,4454594127.883337,26727870337.625854
5071,10691026927020,10691026.927020,4454594552.925003,31182464890.550858
5072,10691027947120,10691027.947120,4454594977.966670,35637059868.517525
5073,10690878496027,10690878.496027,4454532706.677920,40091592575.195442
5074,10690879516127,10690879.516127,4454533131.719586,44546125706.915031
5075,10690880536227,10690880.536227,4454533556.761253,49000659263.676285
5076,10690697793837,10690697.793837,4454457414.098754,53455116677.775040
5077,10690698813937,10690698.813937,4454457839.140420,57909574516.915459
5078,10690699834037,10690699.834037,4454458264.182087,62364032781.097549
5079,10690478412427,10690478.412427,4454366005.177920,66818398786.275467
5080,10690479432527,10690479.432527,4454366430.219586,71272765216.495056
5081,10690480452627,10690480.452627,4454366855.261253,75727132071.756317
5082,10690227832735,10690227.832735,4454261596.972920,80181393668.729233
5083,10690228852835,10690228.852835,4454262022.014586,84635655690.743820
5084,10690229872935,10690229.872935,4454262447.056253,89089918137.800079
5085,10689943197414,10689943.197414,4454142998.922503,93544061136.722580
5086,10689944217514,10689944.217514,4454143423.964170,97998204560.686752
5087,10689945237614,10689945.237614,4454143849.005837,102452348409.692596
5088,10689630088793,10689630.088793,4454012536.997087,106906360946.689682
5089,10689631108893,10689631.108893,4454012962.038754,111360373908.728439
5090,10689632128993,10689632.128993,4454013387.080420,115814387295.808853
5091,10689282955039,10689282.955039,4453867897.932920,120268255193.741776
5092,10689283975139,10689283.975139,4453868322.974587,124722123516.716370
5093,10689284995239,10689284.995239,4453868748.016253,129175992264.732620
5094,10688896420615,10688896.420615,4453706841.922920,133629699106.655548
5095,10688897440715,10688897.440715,4453707266.964586,138083406373.620148
5096,10688898460815,10688898.460815,4453707692.006253,142537114065.626404
5097,10688499165376,10688499.165376,4453541318.906671,146990655384.533081
5098,10688500185476,10688500.185476,4453541743.948337,151444197128.481415
5099,10688501205576,10688501.205576,4453542168.990004,155897739297.471405
5100,10688069480648,10688069.480648,4453362283.603337,160351101581.074738
5101,10688070500748,10688070.500748,4453362708.645003,164804464289.719727
5102,10688071520848,10688071.520848,4453363133.686670,169257827423.406403
5103,10687589784753,10687589.784753,4453162410.313753,173710989833.720154
5104,10687590804853,10687590.804853,4453162835.355420,178164152669.075562
5105,10687591824953,10687591.824953,4453163260.397087,182617315929.472656
5106,10687020179304,10687020.179304,4452925074.710004,187070241004.182648
5107,10687021199404,10687021.199404,4452925499.751670,191523166503.934326
5108,10687022219504,10687022.219504,4452925924.793337,195976092428.727661
5109,10686425592822,10686425.592822,4452677330.342504,200428769759.070160
5110,10686426612922,10686426.612922,4452677755.384171,204881447514.454346
5111,10686427633022,10686427.633022,4452678180.425838,209334125694.880188
5112,10685783208038,10685783.208038,4452409670.015837,213786535364.896027
5113,10685784228138,10685784.228138,4452410095.057504,218238945459.953522
5114,10685785248238,10685785.248238,4452410520.099170,222691355980.052704
5115,10685110502385,10685110.502385,4452129375.993753,227143485356.046448
5116,10685111522485,10685111.522485,4452129801.035420,231595615157.081879
5117,10685112542585,10685112.542585,4452130226.077086,236047745383.158966
5118,10684402068300,10684402.068300,4451834195.125004,240499579578.283966
5119,10684403088400,10684403.088400,4451834620.166670,244951414198.450623
5120,10684404108500,10684404.108500,4451835045.208337,249403249243.658966
5121,10683669907918,10683669.907918,4451529128.299170,253854778371.958130
5122,10683670928018,10683670.928018,4451529553.340837,258306307925.298981
5123,10683671948118,10683671.948118,4451529978.382504,262757837903.681488
5124,10682910669521,10682910.669521,4451212778.967087,267209050682.648560
5125,10682911689621,10682911.689621,4451213204.008754,271660263886.657318
5126,10682912709721,10682912.709721,4451213629.050420,276111477515.707764
5127,10682099239979,10682099.239979,4450874683.324587,280562352199.032349
5128,10682100260079,10682100.260079,4450875108.366254,285013227307.398621
5129,10682101280179,10682101.280179,4450875533.407921,289464102840.806519
5130,10681240409394,10681240.409394,4450516837.247503,293914619678.054016
5131,10681241429494,10681241.429494,4450517262.289170,298365136940.343201
5132,10681242449594,10681242.449594,4450517687.330837,302815654627.674011
5133,10680327575025,10680327.575025,4450136489.593754,307265791117.267761
5134,10680328595125,10680328.595125,4450136914.635420,311715928031.903198
5135,10680329615225,10680329.615225,4450137339.677087,316166065371.580261
5136,10679330635325,10679330.635325,4449721098.052087,320615786469.632324
5137,10679331655425,10679331.655425,4449721523.093754,325065507992.726074
5138,10679332675525,10679332.675525,4449721948.135421,329515229940.861511
5139,10678333695625,10678333.695625,4449305706.510420,333964535647.371948
5140,10678334715725,10678334.715725,4449306131.552087,338413841778.924011
5141,10678335735825,10678335.735825,4449306556.593754,342863148335.517761
5142,10677336755925,10677336.755925,4448890314.968754,347312038650.486511
5143,10677337776025,10677337.776025,4448890740.010420,351760929390.496948
5144,10677338796125,10677338.796125,4448891165.052087,356209820555.549011
5145,10676339816225,10676339.816225,4448474923.427087,360658295478.976074
5146,10676340836325,10676340.836325,4448475348.468754,365106770827.444824
5147,10676341856425,10676341.856425,4448475773.510421,369555246600.955261
5148,10675342876525,10675342.876525,4448059531.885420,374003306132.840698
5149,10675343896625,10675343.896625,4448059956.927087,378451366089.767761
5150,10675344916725,10675344.916725,4448060381.968754,382899426471.736511
5151,10674345936825,10674345.936825,4447644140.343754,387347070612.080261
5152,10674346956925,10674346.956925,4447644565.385421,391794715177.465698
5153,10674347977025,10674347.977025,4447644990.427087,396242360167.892761
5154,10673348997125,10673348.997125,4447228748.802087,400689588916.694824
5155,10673350017225,10673350.017225,4447229173.843754,405136818090.538574
5156,10673351037325,10673351.037325,4447229598.885420,409584047689.424011
5157,10672352057425,10672352.057425,4446813357.260420,414030861046.684448
5158,10672353077525,10672353.077525,4446813782.302087,418477674828.986511
5159,10672354097625,10672354.097625,4446814207.343754,422924489036.330261
5160,10671355117725,10671355.117725,4446397965.718754,427370887002.049011
5161,10671356137825,10671356.137825,4446398390.760420,431817285392.809448
5162,10671357157925,10671357.157925,4446398815.802087,436263684208.611511
5163,10670358178025,10670358.178025,4445982574.177087,440709666782.788574
5164,10670359198125,10670359.198125,4445982999.218754,445155649782.007324
