season,supply,supply_formatted,calculated_value,cumulative_sum
2758,11258246227302,11258246.227302,4690935928.042504,949788237393.692505
2759,11258247227302,11258247.227302,4690936344.709170,954479173738.401733
2760,11258248227302,11258248.227302,4690936761.375837,959170110499.777588
2761,11258249227302,11258249.227302,4690937178.042503,963861047677.820068
2762,11258250227302,11258250.227302,4690937594.709170,968551985272.529297
2763,11258251227302,11258251.227302,4690938011.375837,973242923283.905151
2764,11258252227302,11258252.227302,4690938428.042503,977933861711.947632
2765,11258253227302,11258253.227302,4690938844.709170,982624800556.656860
2766,11258254227302,11258254.227302,4690939261.375836,987315739818.032715
2767,11258255227302,11258255.227302,4690939678.042503,992006679496.075195
2768,11258256227302,11258256.227302,4690940094.709170,996697619590.784424
2769,11258257227302,11258257.227302,4690940511.375837,1001388560102.160278
2770,11258258227302,11258258.227302,4690940928.042503,1006079501030.202759
2771,11258259227302,11258259.227302,4690941344.709170,1010770442374.911987
2772,11258260227302,11258260.227302,4690941761.375837,1015461384136.287842
2773,11258261227302,11258261.227302,4690942178.042504,1020152326314.330322
2774,11258262227302,11258262.227302,4690942594.709170,1024843268909.039551
2775,11258263227302,11258263.227302,4690943011.375837,1029534211920.415405
2776,11258264227302,11258264.227302,4690943428.042503,1034225155348.457886
2777,11258265227302,11258265.227302,4690943844.709170,1038916099193.167114
2778,11258266227302,11258266.227302,4690944261.375837,1043607043454.542969
2779,11258267227302,11258267.227302,4690944678.042504,1048297988132.585449
2780,11258268227302,11258268.227302,4690945094.709170,1052988933227.294678
2781,11258269227302,11258269.227302,4690945511.375837,1057679878738.670532
2782,11258270227302,11258270.227302,4690945928.042503,1062370824666.713013
2783,11258271227302,11258271.227302,4690946344.709170,1067061771011.422241
2784,11258272227302,11258272.227302,4690946761.375837,1071752717772.798096
2785,11258273227302,11258273.227302,4690947178.042504,1076443664950.840576
2786,11258274227302,11258274.227302,4690947594.709170,1081134612545.549805
2787,11258275227302,11258275.227302,4690948011.375836,1085825560556.925659
2788,11258276227302,11258276.227302,4690948428.042503,1090516508984.968140
2789,11258277227302,11258277.227302,4690948844.709170,1095207457829.677368
2790,11258278227302,11258278.227302,4690949261.375837,1099898407091.053223
2791,11258279227302,11258279.227302,4690949678.042503,1104589356769.095703
