season,supply_formatted,calculated_value,cumulative_sum
2761,11138014.459035,4640.839358,955978.047251
2762,11138015.479135,4640.839783,960618.887034
2763,11137946.962134,4640.811234,965259.698268
2764,11137947.982234,4640.811659,969900.509927
2765,11137949.002334,4640.812084,974541.322011
2766,11137880.958427,4640.783733,979182.105744
2767,11137881.978527,4640.784158,983822.889902
2768,11137882.998627,4640.784583,988463.674485
2769,11137884.018727,4640.785008,993104.459492
2770,11137885.059331,4640.785441,997745.244934
2771,11137886.099935,4640.785875,1002386.030809
2772,11137887.120035,4640.786300,1007026.817109
2773,11137888.140135,4640.786725,1011667.603834
2774,11137889.160235,4640.787150,1016308.390984
2775,11137890.180335,4640.787575,1020949.178559
2776,11137825.767901,4640.760737,1025589.939296
2777,11137826.788001,4640.761162,1030230.700457
2778,11137763.069135,4640.734612,1034871.435069
2779,11137764.089235,4640.735037,1039512.170107
2780,11137699.013213,4640.707922,1044152.878029
2781,11137607.111132,4640.669630,1048793.547658
2782,11137608.131232,4640.670055,1053434.217713
2783,11137609.151332,4640.670480,1058074.888193
2784,11137610.191936,4640.670913,1062715.559106
2785,11137611.212036,4640.671338,1067356.230445
2786,11137549.565727,4640.645652,1071996.876097
2787,11137550.585827,4640.646077,1076637.522174
2788,11137551.605927,4640.646502,1081278.168677
2789,11137552.626027,4640.646928,1085918.815604
2790,11137553.646127,4640.647353,1090559.462957
2791,11137554.666227,4640.647778,1095200.110734
2792,11137500.962914,4640.625401,1099840.736136
2793,11137501.983014,4640.625826,1104481.361962
2794,11137503.003114,4640.626251,1109121.988213
2795,11137504.023214,4640.626676,1113762.614890
2796,11137505.043314,4640.627101,1118403.241991
2797,11137506.063414,4640.627526,1123043.869517
2798,11137507.083514,4640.627951,1127684.497469
2799,11137508.103614,4640.628377,1132325.125845
2800,11137509.123714,4640.628802,1136965.754647
2801,11137433.920241,4640.597467,1141606.352114
2802,11137325.762707,4640.552401,1146246.904515
2803,11137183.805416,4640.493252,1150887.397767
2804,11137084.825516,4640.452011,1155527.849778
2805,11137085.845616,4640.452436,1160168.302213
2806,11137086.865716,4640.452861,1164808.755074
2807,11137087.885816,4640.453286,1169449.208360
2808,11137007.444688,4640.419769,1174089.628128
2809,11136980.769992,4640.408654,1178730.036783
2810,11136981.790092,4640.409079,1183370.445862
2811,11136982.810192,4640.409504,1188010.855366
2812,11136983.850796,4640.409938,1192651.265304
2813,11136984.870896,4640.410363,1197291.675667
2814,11136985.890996,4640.410788,1201932.086455
2815,11136986.911096,4640.411213,1206572.497668
2816,11136987.931196,4640.411638,1211212.909306
2817,11136988.951296,4640.412063,1215853.321369
2818,11136989.971396,4640.412488,1220493.733857
2819,11136990.991496,4640.412913,1225134.146770
2820,11136992.011596,4640.413338,1229774.560108
2821,11136993.031696,4640.413763,1234414.973871
2822,11136994.051796,4640.414188,1239055.388059
2823,11136995.071896,4640.414613,1243695.802673
2824,11136918.695835,4640.382790,1248336.185463
2825,11136812.110003,4640.338379,1252976.523842
2826,11136813.130103,4640.338804,1257616.862646
2827,11136744.304457,4640.310127,1262257.172773
2828,11136643.054393,4640.267939,1266897.440712
2829,11136644.074493,4640.268364,1271537.709077
2830,11136645.094593,4640.268789,1276177.977866
2831,11136573.042685,4640.238768,1280818.216634
2832,11136467.727280,4640.194886,1285458.411520
2833,11136327.937181,4640.136640,1290098.548161
2834,11136328.957281,4640.137066,1294738.685226
2835,11136251.723710,4640.104885,1299378.790111
2836,11136252.743810,4640.105310,1304018.895421
2837,11136253.763910,4640.105735,1308659.001156
2838,11136254.784010,4640.106160,1313299.107316
2839,11136255.804110,4640.106585,1317939.213901
2840,11136256.824210,4640.107010,1322579.320911
2841,11136257.844310,4640.107435,1327219.428346
2842,11136258.864410,4640.107860,1331859.536206
2843,11136259.884510,4640.108285,1336499.644492
2844,11136260.904610,4640.108710,1341139.753202
2845,11136211.924710,4640.088302,1345779.841504
2846,11136212.944810,4640.088727,1350419.930231
2847,11136093.717445,4640.039049,1355059.969280
2848,11136094.737545,4640.039474,1359700.008754
2849,11136095.757645,4640.039899,1364340.048653
2850,11136096.777745,4640.040324,1368980.088977
2851,11136097.797845,4640.040749,1373620.129726
2852,11136098.817945,4640.041174,1378260.170900
2853,11136099.838045,4640.041599,1382900.212499
2854,11135978.007768,4639.990837,1387540.203336
2855,11135979.027868,4639.991262,1392180.194597
2856,11135980.047968,4639.991687,1396820.186284
2857,11135981.068068,4639.992112,1401460.178396
2858,11135862.569883,4639.942737,1406100.121133
2859,11135763.589983,4639.901496,1410740.022629
2860,11135645.780594,4639.852409,1415379.875038
2861,11135646.800694,4639.852834,1420019.727871
2862,11135647.820794,4639.853259,1424659.581130
2863,11135530.399131,4639.804333,1429299.385463
2864,11135531.419231,4639.804758,1433939.190221
2865,11135532.439331,4639.805183,1438578.995404
2866,11135533.459431,4639.805608,1443218.801012
2867,11135534.479531,4639.806033,1447858.607045
2868,11135535.499631,4639.806458,1452498.413503
2869,11135536.519731,4639.806883,1457138.220387
2870,11135537.539831,4639.807308,1461778.027695
2871,11135538.559931,4639.807733,1466417.835428
2872,11135539.580031,4639.808158,1471057.643587
2873,11135540.600131,4639.808583,1475697.452170
2874,11135541.620231,4639.809008,1480337.261178
2875,11135542.640331,4639.809433,1484977.070612
2876,11135543.660431,4639.809859,1489616.880470
2877,11135544.680531,4639.810284,1494256.690754
2878,11135545.700631,4639.810709,1498896.501462
2879,11135546.720731,4639.811134,1503536.312596
2880,11135547.740831,4639.811559,1508176.124155
2881,11135490.235139,4639.787598,1512815.911753
2882,11135491.255239,4639.788023,1517455.699776
2883,11135492.275339,4639.788448,1522095.488224
2884,11135493.295439,4639.788873,1526735.277097
2885,11135494.315539,4639.789298,1531375.066395
2886,11135495.335639,4639.789723,1536014.856118
2887,11135496.355739,4639.790148,1540654.646267
2888,11135497.375839,4639.790573,1545294.436840
2889,11135498.395939,4639.790998,1549934.227838
2890,11135499.416039,4639.791423,1554574.019261
2891,11135500.436139,4639.791848,1559213.811110
2892,11135501.456239,4639.792273,1563853.603383
2893,11135502.476339,4639.792698,1568493.396082
2894,11135503.496439,4639.793124,1573133.189205
2895,11135504.516539,4639.793549,1577772.982754
2896,11135505.536639,4639.793974,1582412.776727
2897,11135506.556739,4639.794399,1587052.571126
2898,11135507.576839,4639.794824,1591692.365950
2899,11135508.596939,4639.795249,1596332.161198
2900,11135509.617039,4639.795674,1600971.956872
2901,11135397.590037,4639.748996,1605611.705868
2902,11135398.610137,4639.749421,1610251.455289
2903,11135399.630237,4639.749846,1614891.205135
2904,11135350.650337,4639.729438,1619530.934573
2905,11135184.988368,4639.660412,1624170.594984
2906,11135186.008468,4639.660837,1628810.255821
2907,11135187.028568,4639.661262,1633449.917083
2908,11135188.069172,4639.661695,1638089.578779
2909,11135189.089272,4639.662121,1642729.240899
2910,11135190.109372,4639.662546,1647368.903445
2911,11135191.129472,4639.662971,1652008.566415
2912,11135192.149572,4639.663396,1656648.229811
2913,11135193.169672,4639.663821,1661287.893632
2914,11135194.189772,4639.664246,1665927.557877
2915,11135025.745260,4639.594061,1670567.151938
2916,11135026.785864,4639.594494,1675206.746432
2917,11135027.805964,4639.594919,1679846.341351
2918,11135028.826064,4639.595344,1684485.936695
2919,11135029.846164,4639.595769,1689125.532465
2920,11134930.866264,4639.554528,1693765.086992
2921,11134931.886364,4639.554953,1698404.641945
2922,11134932.906464,4639.555378,1703044.197323
2923,11134933.926564,4639.555803,1707683.753125
2924,11134934.946664,4639.556228,1712323.309353
2925,11134935.966764,4639.556653,1716962.866006
2926,11134936.986864,4639.557078,1721602.423084
2927,11134938.006964,4639.557503,1726241.980587
2928,11134939.027064,4639.557928,1730881.538515
2929,11134938.408470,4639.557670,1735521.096185
2930,11134939.428570,4639.558095,1740160.654280
2931,11134869.676384,4639.529032,1744800.183312
2932,11134714.551128,4639.464396,1749439.647708
2933,11134502.311228,4639.375963,1754079.023671
2934,11134503.331328,4639.376388,1758718.400059
2935,11134504.351428,4639.376813,1763357.776872
2936,11134505.371528,4639.377238,1767997.154110
2937,11134506.391628,4639.377663,1772636.531774
2938,11134507.411728,4639.378088,1777275.909862
2939,11134356.203379,4639.315085,1781915.224947
2940,11134147.647259,4639.228186,1786554.453133
2941,11134148.667359,4639.228611,1791193.681744
2942,11134149.687459,4639.229036,1795832.910781
2943,11134150.707559,4639.229461,1800472.140242
2944,11134151.727659,4639.229887,1805111.370129
2945,11134152.747759,4639.230312,1809750.600440
2946,11134153.767859,4639.230737,1814389.831177
2947,11134154.656403,4639.231107,1819029.062284
2948,11134119.249770,4639.216354,1823668.278638
2949,11134120.269870,4639.216779,1828307.495417
2950,11134121.289970,4639.217204,1832946.712621
2951,11134122.330574,4639.217638,1837585.930259
2952,11134025.239143,4639.177183,1842225.107442
2953,11133874.543469,4639.114393,1846864.221835
2954,11133875.563569,4639.114818,1851503.336653
2955,11133726.595093,4639.052748,1856142.389401
2956,11133521.694997,4638.967373,1860781.356774
2957,11133522.715097,4638.967798,1865420.324572
2958,11133523.735197,4638.968223,1870059.292795
2959,11133524.755297,4638.968648,1874698.261443
2960,11133525.775397,4638.969073,1879337.230516
2961,11133526.795497,4638.969498,1883976.200014
2962,11133527.815597,4638.969923,1888615.169937
2963,11133381.856718,4638.909107,1893254.079044
2964,11133382.876818,4638.909532,1897892.988576
2965,11133383.896918,4638.909957,1902531.898533
2966,11133384.917018,4638.910382,1907170.808916
2967,11133385.937118,4638.910807,1911809.719723
2968,11133386.957218,4638.911232,1916448.630955
2969,11133387.977318,4638.911657,1921087.542612
2970,11133388.997418,4638.912082,1925726.454694
2971,11133390.017518,4638.912507,1930365.367202
2972,11133391.037618,4638.912932,1935004.280134
2973,11133392.057718,4638.913357,1939643.193491
2974,11133393.077818,4638.913782,1944282.107274
2975,11133394.097918,4638.914207,1948921.021481
2976,11133395.118018,4638.914633,1953559.936114
2977,11133396.138118,4638.915058,1958198.851171
2978,11133397.158218,4638.915483,1962837.766654
2979,11133398.178318,4638.915908,1967476.682561
2980,11133399.198418,4638.916333,1972115.598894
2981,11133400.218518,4638.916758,1976754.515652
2982,11133401.238618,4638.917183,1981393.432835
2983,11133402.258718,4638.917608,1986032.350442
2984,11133403.278818,4638.918033,1990671.268475
2985,11133404.298918,4638.918458,1995310.186933
2986,11133304.319914,4638.876800,1999949.063733
2987,11133305.340014,4638.877225,2004587.940958
2988,11133177.364759,4638.823902,2009226.764860
2989,11133178.384859,4638.824327,2013865.589187
2990,11133179.404959,4638.824752,2018504.413939
2991,11133180.425059,4638.825177,2023143.239116
2992,11133181.445159,4638.825602,2027782.064718
2993,11133182.465259,4638.826027,2032420.890746
2994,11133130.539970,4638.804392,2037059.695137
2995,11133002.654263,4638.751106,2041698.446243
2996,11132823.671899,4638.676530,2046337.122773
2997,11132824.691999,4638.676955,2050975.799728
2998,11132825.712099,4638.677380,2055614.477108
2999,11132826.732199,4638.677805,2060253.154913
3000,11132827.752299,4638.678230,2064891.833143
3001,11132828.772399,4638.678655,2069530.511799
3002,11132829.792499,4638.679080,2074169.190879
3003,11132830.812599,4638.679505,2078807.870384
3004,11132831.832699,4638.679930,2083446.550314
3005,11132832.852799,4638.680355,2088085.230670
3006,11132833.893403,4638.680789,2092723.911459
3007,11132834.934007,4638.681223,2097362.592681
